CID,Melting Point
96,36.5°C
2758725,"358 °F decomposes (EPA, 1998)"
10952,-44.0 °C
10957,-95.8 °C
10957,-95°C
10967,"-42.7 °F (EPA, 1998)"
10967,-41.5 °C
10967,-42 °C
7612,"-121 °F (NIOSH, 2016)"
7612,-85.0 °C
7612,-95.54 °C
7612,-85 °C
7612,-121°F
10977,"-146 °F (USCG, 1999)"
10977,-99 °C
10994,-29.0 °C
11006,"64.7 °F (NTP, 1992)"
11006,18.1 °C
11006,18.18 °C
11006,18.17°C
11040,-66.0 °C
11040,Freezing Point: approximately -66 °C
11052,127.0 °C
11071,175.0 °C
11075,104.0 °C
11085,46.0 °C
11096,62-64°C
11118,49.0 °C
11118,49°C
11120,54.3 °C
6919173,300°C
38853,"572 °F approximately (decomposes) (NTP, 1992)"
38853,300°C
11164,"-49 °F (NTP, 1992)"
11164,-45 °C
11164,-49°F
11194,-6.0 °C
11194,-6 °C
11205,"194 °F (NIOSH, 2016)"
11205,90.1 °C
11205,90 °C
11205,194°F
68409,-20.0 °C
11220,17.5 °C
5462328,173.0 °C
5462328,173 °C
11229,-134.9 °C
3286,"9 to 10 °F (EPA, 1998)"
3286,-13.0 °C
3286,-12 to -13 °C
3286,-12 - -13 °C
3286,9-10°F
3286,10°F
11239,-168.5 °C
11240,-137.5 °C
11241,"less than -112 °F (NTP, 1992)"
11241,< -80 °C
11241,-80 °C
233706,"39 °F (NTP, 1992)"
233706,3.5 °C
11269,-109.2 °C
11271,-69.0 °C
11271,-69°C
68437,102.5 °C
68437,102.5°C
68442,288.0 °C
11369,3.5 °C
11369,MP: 3-4 °C
11369,3-4°C
11372,59.0 °C
135426866,239.0 °C
11380,27.0 °C
11380,27 °C
11442,-40.0 °C
11442,~4 °C
11450,42.3 °C
11457,56.0 °C
444212,194-195 °C (WITH DECOMP)
444212,187-191°C
11459,125.1 °C
11497,110 °C
638088,"255 to 257 °F (NTP, 1992)"
638088,124 °C
11506,117.5 °C
11507,-119.0 °C
11509,-55.5 °C
11509,-55.5°C
11519,-100°C
11523,-87.0 °C
11529,"-128 °F (USCG, 1999)"
11529,-89.0 °C
11529,-89°C
11529,-90 °C
2735122,167.0 °C
2735122,167 °C
11542,-123.8 °C
11543,-103.0 °C
11551,-121.1 °C
11567,-73.5°C
11582,-118.2 °C
11582,-118 °C
11584,Freezing point: -96 °C
11614,"-130 °F (USCG, 1999)"
11614,-91.5 °C
11614,-91.5°C
11614,-90 °C
11643,-133.0 °C
11648,-87.2 °C
11648,-87.2°C
13257766,121.5 °C
61144,142.0 °C
11696,57.5 °C
136394,-82.0 °C
11734,-12.1 °C
11734,-12 °C
11756,114.0 °C
11756,112-114°C
11769,"217 to 219 °F (NTP, 1992)"
11769,100.5 °C
11769,103 °C
11772,109.5 °C
11772,106 °C
4977,135.5 °C
221768,59.5 °C
11796,306.0 °C
11816,52.0 °C
11820,74.0 °C
69089,234.0 °C
69105,-30.0 °C
11864,"-53 °F (NTP, 1992)"
11864,-47.0 °C
11871,122.0 °C
11880,182.0 °C
11884,85.5 °C
11920,127-128°C
69156,-12.3 °C
11923,74.0 °C
11937,"460 to 466 °F (NTP, 1992)"
11937,238.8 °C
11937,238-241 °C
69188,8.5 °C
11993,0.7 °C
12002,44.5 °C
12016,-105.0 °C
12025,23.0 °C
12025,25.0 °C
12025,23°C
12025,25 °C
69267,30.5 °C
69275,96.5 °C
12092,242.5 °C
102,73.0 °C
12122,132.0 °C
12122,129°C
12149,25.5 °C
12161,-34.1 °C
12161,-37.8 °C
12161,-34 °C
125,124.5 °C
125,124.5°C
12173,117.0 °C
12173,117 °C
12180,"-139 °F (NTP, 1992)"
12180,-85.8 °C
12180,-95°C
12198,-31 °C
12204,-18.5 °C
12208,131.5 °C
12224,83.0 °C
12233,-60.0 °C
12242,-50.4 °C
12251,"45.9 °F (NTP, 1992)"
12251,7.7 °C
12251,7.7°C
12252,"-112 °F (NTP, 1992)"
12252,-80.0 °C
12257,-80.0 °C
12257,-80°C
54696004,278.0 °C
69374,57.0 °C
12290,149.8 °C
12307,"less than -150 °F (USCG, 1999)"
12307,-100.0 °C
12307,-100 °C
12307,-148°F
12329,"46.4 °F (USCG, 1999)"
12329,10.3 °C
12329,8°C
12329,46.4°F
12338,-115.5 °C
12340,-127.5 °C
12348,"less than -148 °F (USCG, 1999)"
12348,-70.8 °C
12348,-70.8°C
12348,-71 °C
12348,-95°F
12350,-81.0 °C
12370,-79.3 °C
12388,"22.1 °F (NTP, 1992)"
12388,-5.3 °C
12388,-5.35 °C
12388,-5.5°C
12391,"50 °F (NTP, 1992)"
12391,9.9 °C
12391,9.95 °C
12397,"111 °F (USCG, 1999)"
12397,45.5 °C
12397,45-46°C
12407,"133.5 °F (NTP, 1992)"
12407,56.4 °C
12407,56.09 °C
12412,76.5 °C
12412,75.081 °C
12418,"-94.4 °F (NTP, 1992)"
12418,-70.2 °C
12418,-94°F
12433,49.0 °C
12433,48 °C
69433,192.0 °C
12437,-1.2 °C
12442,"208 °F (NTP, 1992)"
720471,"541 to 547 °F (NTP, 1992)"
69470,38.0 °C
7729,"270 to 291 °F (decomposes) (NTP, 1992)"
12512,"-137 °F (NTP, 1992)"
12512,-94.0 °C
12512,-94 °C
12512,-137°F
69487,154.5 °C
12530,44.5 °C
12530,44.5°C
12542,"225 to 228 °F (EPA, 1998)"
12542,108.0 °C
12542,108 °C
12542,107 °C
12568,37.0 °C
12568,37 °C
12580,22.0 °C
12580,21-22°C
12586,-95.0 °C
12586,-95 °C
6992101,157.5°C
138,157.5°C
12647,203°C
6971022,203°C
12679,"41 to 45 °F (NTP, 1992)"
12679,7.2 °C
12679,FP: 5-7 °C
12679,43°F
12688,43 °C
12694,99.4 °C
12699,"255 °F (decomposes) (NTP, 1992)"
12699,123 °C
12724,-153.6 °C
12755,31.0 °C
12775,51.6 °C
12775,54°C
12788,53.0 °C
12814,40.0 °C
12898,96.0 °C
12898,93 °C
12902,131.0 °C
12902,131 °C
12932,34.4 °C
12932,38.4 °C
12932,34 °C
12960,-40 °C
12967,"217 to 219 °F (decomposes) (NTP, 1992)"
12967,100 °C; decomposes
12972,116.0 °C
12983,-50.0 °C
12983,< -50 °C
12986,"-212.3 °F (USCG, 1999)"
12986,-135.7 °C
12986,-102.8 °C
12992,14.0 °C
13002,-62 °C
13011,-26.8 °C
13058,34.5 °C
13138,64.0 °C
13163,-24.1 °C
13185,127.0 °C
13232,"less than -13 °F (NTP, 1992)"
13232,FP: LESS THAN 25 °C
13290,68-70 °C
13305,55.0 °C
13305,55-59 °C
3958,192-194
3958,167.0 °C
3958,166-168°C
61226,-37.6 °C
13397,75.0 °C
13543,"165 to 167 °F (NTP, 1992)"
13543,74.5 °C
13543,75 °C
13561,14.5 °C
13561,14-15°C
13568,-103.0 °C
13618,"131 to 135 °F (NTP, 1992)"
13618,58.0 °C
13618,58 °C
13618,101 °C
13632,78.0 °C
13649,84.0 °C
70329,141.0 °C
13677,90.0 °C
13689,"98.6 to 113 °F (EPA, 1998)"
13689,41.0 °C
13689,36.5 °C
13818,108.5 °C
13842,111 °C
61250,"-190 °F (USCG, 1999)"
13904,85.0 °C
13904,85 °C
13930,160.0 °C
13930,160-161.5 °C
13943,167.5 °C
13943,167-169 °C
61253,102.5 °C
61253,Between 99 °C and 102 °C after drying at 90 °C for six hours
61253,94-95°C
16682740,"less than 53.6 °F (NTP, 1992)"
16682740,10 °C
3496,"446 °F (decomposes) (NTP, 1992)"
3496,189.5 °C
3496,230 °C (dec)
3496,"Gilfonos, Roundup: Clear, viscous amber-colored solution; pH 4.4-4.9. Practically odorless to slight amine-like odor. Lider: Colorless crystals. MW: 169.09; MP: 200 °C"
14115,-48.0 °C
14138,49-51°C
14145,106.0 °C
14145,105-105.6 °C
14210,-28.0 °C
14210,Solidifies at -28 °C
14227,-34.6 °C
14242,-42.5 °C
14257,"-14.1 °F (NTP, 1992)"
14257,-25.6 °C
14257,-25.54 °C
14257,-26.00°C.@760.00mmHg
70801,116.0 °C
14337,11.5 °C
70835,108.0 °C
5503,"322 to 336 °F (with decomposition) (NTP, 1992)"
5503,170-173 °C
5503,171.5 °C
5503,170-173°C
70949,100.00to103.00°C.@760.00mmHg
5526,>300 °C
71002,165.5 °C
91497,-5.0 °C
91497,57-58 °C
91497,MP: -10 to 0 °C (mixture of isomers)
14710,260-262 °C (decomposes)
14710,238-240 °C
14716,-54.0 °C
14716,-30 °C
14950,136°C
14992,"421 to 446 °F (NTP, 1992)"
14992,216.0 °C
14992,216 °C
14993,175.0 °C
14993,176 °C
14993,"MP: 176-178 °C, resolidifying and remelting at 185-187 °C; (technical melts 150-170 °C, and again at 170-185 °C)"
14994,"259 °F (EPA, 1998)"
14994,126.0 °C
14994,126 °C
14994,Stable below the melting point ... Stable at least 34 days at pH 5-9 (22 °C)
15076,53.8 °C
15100,"12 °F (NTP, 1992)"
15118,58.0 °C
6432115,"-54 °F (USCG, 1999)"
6432115,-14.166666666699998 °C
6432115,-48 °C
6432115,Heat of Vaporization: 4.9201X10+7 J/kmol @ melting point
6432115,Surface Tension: 0.045796 Newtons/m @ melting point
6432115,3.5 °C
73922,60.0 °C
15285,79.0 °C
15286,-80.0 °C
14855,"118 to 124 °F (NTP, 1992)"
14855,51.0 °C
14855,51 °C
14855,46-50 °C
15331,"309 to 311 °F (NTP, 1992)"
15331,154.5 °C
15331,154-155 °C
5385799,-60.0 °C
15402,177.2 °C
15415,"less than 68 °F (NTP, 1992)"
15422,"-46 °F (NIOSH, 2016)"
15422,-43.0 °C
15422,-43°C
15422,-43 °C
15422,-46°F
9570093,141.0 °C
15442,-101.2 °C
15448,-11.00to-9.00°C.@760.00mmHg
15450,"less than 212 °F (USCG, 1999)"
15450,-106.0 °C
15450,-106 °C
15450,<212°F
15450,<-105°F
74265,278.5 °C
667477,"Crystals, melting point 184 to 186 °C, 188 to 189 °C (a cis-trans mixture of approx 1:5) /HYDROCHLORIDE/"
667477,"Crystals, melting point 161 to 164 °C, 168 to 169 °C /MALEATE/"
667477,Melting point 192 to 193 °C /trans-HYDROCHLORIDE/
667477,"Crystals, melting point 209 to 210.5 °C /cis-HYDROCHLORIDE/"
15504,"-168 °F (USCG, 1999)"
15504,-111.3 °C
15531,190.0 °C
15531,MP: 194-195 °C (sublimes at 135 °C/0.15 mm Hg)
15531,MP: 188-192 °C /Technical bromoxynil (approx 95% pure)/
15533,45.5 °C
15533,45-46 °C
72813,162.0 °C
15546,205.0 °C
15546,206 °C
15546,MELTING POINT: 185-195 °C /TECHNICAL PRODUCT/
15546,"Brown, almost odorless. MP: 198-202 °C /technical/"
15553,151.0 °C
15553,151-152 °C
15586,-103.5 °C
15586,-154.3°F
15666,"320 °F (USCG, 1999)"
15666,149.6 °C
15684,55-58 ºC
15684,59.5 °C
15728,36.0 °C
15769,67.5 °C
71105,97.0 °C
15787,"158 to 160 °F (NTP, 1992)"
15787,70.0 °C
15787,70-71 °C
15787,70°C
15788,105.5 °C
3396,187.5-190
15816,108-110°C
2943,155.0 °C
2943,155-156 °C
15851,262.5 °C
65086,212.0 °C
15902,-72.9 °C
74710,109.5 °C
15965,"392 °F (decomposes) (NTP, 1992)"
15965,218.5 °C
15965,"MP: 218-219 °C, with decomposition starting at 190 °C. Readily sublimes at 190 °C under 12 mm Hg."
15965,No melting point; decomposes at 190 °C
15965,392°F (decomposes)
15965,424°F (Decomposes)
15966,80.0 °C
1488,119.0 °C
15995,64.0 °C
16002,Liquid at room temperature
519661,4.5 °C
16073,45.5 °C
16073,45-46 °C
16074,226.0 °C
16089,-67.9 °C
16115,"304 to 306 °F (EPA, 1998)"
16115,151.0 °C
16115,151 °C
16116,135.5 °C
16116,135 °C
16116,CRYSTALS; MELTING POINT: 157-159 °C /TRANS-SIDURON/
16126,32.0 °C
8916,17.0 °C
8916,17 °C
16247,93.5 °C
16247,93-94 °C
16247,93 °C
16248,"243 °F (EPA, 1998)"
16248,120.0 °C
16248,119 °C
16270,-117.3 °C
16300,-24.0 °C
16301,5.9 °C
16309,36.0 °C
16311,89.0 °C
16473,267.0 °C
23664719,"235 to 241 °F (NTP, 1992)"
23664719,130-140 °C
23664719,Mp: 113-116 °C /Sodium methanearsonate sesquihydrate/
23664719,Mp: 132-139 °C /Sodium methanearsonate hexahydrate/
16559,316.0 °C
16560,128.0 °C
16582,31.0 °C
16582,33°C
16628,-69.95 °C
439711,45.75 °C
16686,122.0 °C
16686,122-123 °C
16692,"387 to 388 °F (NTP, 1992)"
16692,197.5 °C
16692,185-197 °C
16692,192 °C
16692,365°F
16702,54.3 °C
16715,-34.2 °C
16757,57.5 °C
16757,57.5°C
6433329,69.5 °C
16774,"83.3 °F Technical product solidifies at 70-75° F. (EPA, 1998)"
16774,28.5 °C
5284376,25.0 °C
5284376,25-30 °C
5543,29.0 °C
5543,34 °C
5543,MP: 29-30 °C
5543,29-30 °C
4793,47.75 °C
4793,47.5-48 °C
4793,46°C
40816,71.0 °C
16846,-51.6 °C
16846,-51--52°C
75342,113.0 °C
16910,-48.0 °C
16929,183.3 °C
16929,184 °C
16930,152.0 °C
16930,152.5 °C
16945,"905 °F (decomposes) (NTP, 1992)"
16945,485 °C (decomposes)
16969,-27.3 °C
17026,138.0 °C
17026,150.5 °C
17038,"321 °F (Decomposes) (NIOSH, 2016)"
17038,160.5 °C
17038,160-161 °C; decomposes slowly at melting point
17038,160-161°C
17038,160-161 °C
17038,321°F (decomposes)
17038,321°F (Decomposes)
17077,39.0 °C
17109,170.0 °C
17109,171 °C
17110,136.0 °C
17110,136 °C
17126,30.0 °C
17190,"630 °F (NTP, 1992)"
17190,285.0 °C
17190,331 °C
17286,139.0 °C
17334,139.0 °C
17345,"77 °F (EPA, 1998)"
17345,25.5 °C
17345,25-26 °C
17347,141.0 °C
17347,141 °C
17412,128.0 °C
17432,19.9 °C
17432,22 °C
17434,<25°C
17434,9 °C
17435,17.5 °C
17435,17 TO 18 °C
8580,109.5 °C
17531,"127 °F (EPA, 1998)"
17531,53.0 °C
17531,53 °C
17534,210.5 °C
17564,103.0 °C
17564,97-99 °C
17581,"271 to 275 °F (NTP, 1992)"
17581,134.0 °C
17581,133-135 °C
6795,"less than 608 °F (decomposes) (NTP, 1992)"
6795,<608°F (decomposes)
17713,83.0 °C
17717,"194 to 205 °F (EPA, 1998)"
17717,90-91 °C
3305,198-199
17812,57.0 °C
17822,-199 °C
2730,"108 to 110 °F (NTP, 1992)"
2730,42.0 °C
2730,41-42 °C
2730,42°C
2730,108°F
18087,"greater than 608 °F (NIOSH, 2016)"
18087,320.0 °C
18087,>320 °C
18087,>608°F
18105,174.0 °C
18169,141.0 °C
76441,223.5 °C
16968,-129.0 °C
18309,-65.7 °C
6950182,60-64°C
99288,60-64°C
18432,119.0 °C
76613,149.0 °C
229478,175.0 °C
18555,"142 to 144 °F (NTP, 1992)"
18555,61.5 °C
18555,61 °C
76701,163.0 °C
582377,125.0 °C
101748,187-188°C
18996,Decomposes at 208 °C
19014,190.0 °C
19041,-105.7 °C
2442,232-235
2442,238.0 °C
71819,136.0 °C
19232,"415 to 417 °F (EPA, 1998)"
19232,213.5 °C
19232,213-214 °C
19402,"284 °F (EPA, 1998)"
19402,140.0 °C
19402,140 °C
19402,143 °C
19427,118.0 °C
19427,117.5 °C
19429,129.3 °C
77317,-7.6 °C
77338,96.9 °C
19540,-83.0 °C
19596,146.0 °C
19662,193.0 °C
19756,"536 to 550 °F decomposes (EPA, 1998)"
19871,-5.0 °C
77625,148.0 °C
77698,8.0 °C
6433396,178-210 °C
20105,105.0 °C
4488,203°C
107297,247°C
11333,169°C
1201521,5.3666666667 °C
20848,"304 °F (USCG, 1999)"
20848,150.0 °C
20848,151-152 °C
637921,-51.5 °C
21026,37.0 °C
21080,99.75 °C
21102,175.0 °C
135424353,102.0 °C
21363,33.0 °C
21363,33°C
79615,47.0 °C
21694,155.0 °C
21694,155 °C
79695,23.0 °C
316193,135.0 °C
21803,43.0 °C
21803,45.5-46.5 °C
21826,295.0 °C
21863,163-165°C
22094,73.0 °C
22094,73 °C
22094,MP: 66-72 °C /Technical product/
22188,176.0 °C
22188,175-177 °C
22188,Stable up to the melting point; stable in aqueous alkaline media at room temperature
6134,"433 °F (NTP, 1992)"
6134,Decomposes at 203.5 °C
6134,"White powder; MP: 222.8 °C; very soluble in water; slightly soluble in ethanol; insoluble in ethyl ether, chloroform /alpha-Lactose/"
6478035,163.0 °C
232986,203.5 °C
22883,141.0 °C
22890,67.0 °C
439570,<15°C
4740,105°C
13109,223.0 °C
13109,205-207 °C
13109,206 °C
13109,240°C
81091,228.0 °C
252360,-69.95 °C
6857581,228°C
5951,228 °C (decomposes)
5951,228°C
5371562,"129 to 131° F crystals 77 to 86° F commercial product (EPA, 1998)"
5371562,55.0 °C
5371562,54-55 °C
5371562,54-55°C
5371562,129°F
23421,114.5 °C
23436,-8 °C
23532,133.0 °C
522524,"Melting point: 235 °C, with decomposition"
1119,"-98.9 °F (EPA, 1998)"
1119,-75.5 °C
1119,-75.48°C
1119,-104°F
24066,"410 to 417 °F (NTP, 1992)"
24066,217-218 °C
24066,217.5 °C
24066,215-217 °C; also reported as 209-210 °C
24066,210-214°C
807,"236 °F (NIOSH, 2016)"
807,113.7 °C
807,113.6°C
807,114 °C
807,236°F
1000,56.5°C
24233,-80.0 °C
14917,"-118.4 °F (EPA, 1998)"
14917,-83.57 °C
14917,-83 °C
14917,-118°F
1118,"50.65 °F (EPA, 1998)"
1118,"51 °F (NIOSH, 2016)"
1118,10.31 °C
1118,10 °C
1118,51°F
5094,168.0 °C
947,"-354 °F (USCG, 1999)"
947,-210.01 °C (63.14K)
947,TRIPLE POINT TEMP: 63.1 DEG K; TRIPLE POINT PRESSURE: 0.127 ATM; HEAT OF FUSION: 6.1 CAL/G
947,-210.01°C
947,-210 °C
24463,"297 °F (dehydrates) (NTP, 1992)"
24463,Decomp above 110 °C
234,35 °C
234,-30 °C (calculated)
977,"-361 °F (USCG, 1999)"
977,-218.4 °C
977,TRIPLE POINT TEMP: 54.4 DEG K; TRIPLE POINT PRESSURE: 0.0015 ATM; HEAT OF FUSION: 3.3 CAL/G
977,-218.4°C
977,-361°F
24526,"-150 °F (EPA, 1998)"
24526,-101.5 °C
24526,-101 °C
24526,-150°F
5355863,"44.4 to 70 °F trans isomer / cis isomer (EPA, 1998)"
5355863,13.95 °C
5355863,21.0 °C
5355863,"6.9 °C (trans), 21 °C (cis)"
5355863,44.4-70°F (trans-) 70°F (cis-)
5355863,44°F (trans-) 70°F (cis-)
24722,"-13 °F (EPA, 1998)"
24722,-13°F
24722,<-13°F
61448,<-100°C
24726,"-119 °F (NTP, 1992)"
24726,-50.0 °C
24726,<-50 °C
24726,-50°C
24726,-119°F
25059,124.5 °C
25059,123 to 126 °C
25059,126°C
3488,169.0 °C
3488,169-170°C
4096,"112 °F (EPA, 1998)"
4096,46.0 °C
4096,44.9 °C
4096,MP: 20-25 °C /Technical/
4096,Melting point: 39-41 °C.
4096,44 °C
25286,-1.0 °C
2448,155.0 °C
43704,65.0 °C
5281303,156.5 °C
5281303,154-158 °C
27982,74.25 °C
27982,74-75 °C
25511,2.2 °C
25572,110.5 °C
3032604,"-49 °F (EPA, 1998)"
3032604,-45 °C
3289,-13.0 °C
3289,-13 °C
25811,66.5 °C
25811,66-67 °C
25914,"-108 °F (NTP, 1992)"
25914,-78.0 °C
25914,Freezing point: -78 °C
26033,51.0 °C
26107,3.0 °C
26111,>325 °C
26124,31.5 °C
26130,270.5 °C
26176,-40.0 °C
26176,-42 °C
62858,107.0 °C
24874,"-155 °F (NTP, 1992)"
24874,-104.0 °C
24874,-104 °C
24874,-104°C
4164,144.0 °C
26541,163.0 °C
26597,103.0 °C
26597,103 °C
26715,78.0 °C
26989,-123.0 °C
27027,-10.0 °C
119435,122.0 °C
27189,75.0 °C
27189,75 °C
27189,Melting point: 74.8-75.5 °C when pure (technical is 68-70 °C)
27195,137.0 °C
27295,94.0 °C
27641,193°C
443067,119.0 °C
616392,35.0 °C
185588,94.5 °C
5353758,"172 to 174 °F (EPA, 1998)"
5353758,78-79 °C
5353758,78-79°C
5353758,78 °C
5353758,172°F
28049,66.0 °C
28050,16.5 °C
439616,120-122°C
28488,-88.0 °C
4170,256.0 °C
4170,253-259 °C
4170,256°C
87176,83.5 °C
86593,-41.0 °C
28871,161.5 °C
5462958,185.0 °C
5463074,185.0 °C
4199207,185.0 °C
2083,147-149
2083,151.0 °C
2083,151 °C (Lunts); 157-158 °C (Collins)
2083,157-158°C
29216,120.0 °C
29910,"360 °F (NTP, 1992)"
29910,198.0 °C
29910,199 °C
29910,182 °C
29910,360°F
10045,5.6 °C
11527,-45.00°C.@760.00mmHg
2724385,"446 to 509 °F Decomposes. (EPA, 1998)"
2724385,230-265
2724385,249 °C (decomposes)
2724385,MP: Approximately 235 °C (decomposes)
2724385,MP: 230-265 °C
2724385,Crystals. MP: 227-231 °C /beta-Methyldigoxin/
2724385,249°C
30331,135.0 °C
89440,54.5 °C
30559,43.5 °C
30692,<-10 °C
30913,180.0 °C
30913,179 °C to 181 °C (with decomposition)
5842000,96.3333333333 °C
89809,69.0 °C
2314,130.0 °C
2314,129.6 °C
2314,265°F
31573,65.0 °C
24738,167.0 °C
24738,167 °C
31645,90.5 °C
9595287,"212 to 216 °F Pure compound changes to different form upon melting, with a melting point of 226 to 230° F. (EPA, 1998)"
9595287,"100-102 °C, changes to a different crystalline form, mp 108-110 °C"
31899,"392 to 396 °F decomposes (EPA, 1998)"
31899,Melting Point = 102 °C /Formetanate/
31957,15.0 °C
31957,15-18 °C /technical grade/
62773,<25°C
3032791,"342 °F (Decomposes) (NTP, 1992)"
3032791,172 °C (decomposes)
3032791,MP: 181.5 - 182.5 °C
3032791,342°F
90301,283.0 °C
32154,155.0 °C
32154,155-156 °C
32154,"Decomposes above melting point; in solution for 28 days (pH 5-9, 20 °C) < 10% loss."
32184,"32 to 41 °F for technical grade (EPA, 1998)"
32184,3.5 °C
32184,5 °C
90590,109.5 °C
102861,-10.0 °C
11219046,15.5 °C
3034351,79.2 °C
61286,<-37 °C
639661,-98.0 °C
639661,Melting point: -133 °C /2-Hexene (E)/; -141.1 °C /2-Hexene (Z)/; -115.4 °C /3-Hexene (E)/; -137.8 °C /3-Hexene (Z)/
32876,41.5 °C
32921,136.5 °C
637929,-37.5 °C
637929,Melting point: -6.5 °C /Trans-isomer/
33256,175.0 °C
33256,175 °C
33500,32.3 °C
33500,32.1 to 32.5 °C
6528,-40 °C
33528,15 °C at 101.325 kPa
33775,184.0 °C
33775,184 °C
33791,209.5 °C
119653,77.0 °C
94382,212.5 °C
33934,-4 °C /From Table/
33934,-45 °C
91587,138.5 °C
3032840,200-250 °C
3034465,175.0 °C
5053,44.25 °C
5053,56.5 °C (pure (1-RS)-trans isomer)
5053,Mp: 43-48 °C (isomeric mixture with 20-30% cis and 80-70% trans)
5053,43-48 °C
34468,98.0 °C
34468,98.0-99.0 °C
2249,158-160
2249,147.0 °C
2249,146 - 148 °C
2249,147°C
34488,36.0 °C
34697,"-31 °F (NTP, 1992)"
34766,33.4 °C
34766,33.4°C
91595,"39 °F (NTP, 1992)"
91595,3.5 °C
91596,156.0 °C
92270,"39 °F (NTP, 1992)"
92270,3.5 °C
35370,"223 to 234 °F (NTP, 1992)"
35370,113-115 °C
35370,106-112 °C
35370,106-112°C
9195,189.5 °C
9195,189.6 °C
9195,189 °C
35685,105.0 °C
35699,95.5 °C
91604,-30.0 °C
36242,166.0 °C
776461,178.0 °C
36324,86.0 °C
36324,86 °C
36392,42.0 °C
36392,42-43 °C
36400,340-375 °C
36565,60.0 °C
36565,61 °C
91612,193.0 °C
114868,100.5 °C
25485,"-117 °F (USCG, 1999)"
25485,-80 °C
25485,-112°F
36867,9.0 °C
5368008,25.0 °C
5368008,37 °C ((E)- isomer); ((Z)- isomer is an oil at room temperature)
9571009,87.0 °C
9571009,85-89 °C /Technical/
37125,-15.0 °C
37125,-15 °C /technical grade/
37125,-15 °C
37175,52.7 °C
37175,52.7°C
37175,50 °C
3335,185-187
3335,186.0 °C
37454,148-151°C
2682,49.3 °C
2682,49.3°C
37517,136.0 °C
37517,approx 136 °C
37517,136°C
37542,"345 to 349 °F (NTP, 1992)"
37542,174-176 °C
37542,166-168 °C (aq ethanol); 174-176 °C (ethanol).
37542,174-176°C
3869,188.0 °C
3869,195-196°C
12250027,69.0 °C
443629,130-135 °C (with decomp)
37768,203.5 °C
37768,203-204 °C (sesquihydrate)
37768,203-204°C
37829,5.5 °C
37840,222 °C
37840,Melting point = 224 °C (commercial products are mixtures; the melting point given is for the low end of the range)
37270,264.0 °C
37869,143.0 °C
735952,252.0 °C
37995,-3.35 °C
37995,-3.35°C
4201,248.0 °C
4201,248 °C
38078,Occurs in two steps 143-164 °C and 189-223 °C
38078,"Occurs in two steps: 289.4-327.2°F, 372.2-433.4°F"
38090,49.5 °C
38200,258.0 °C
5364932,"133.7 to 135.5 °F (EPA, 1998)"
5364932,57.0 °C
5364932,56.5 TO 57.5 °C
47326,47.0 °C
47326,45-50 °C
94498,131.0 °C
38479,56.0 °C
38479,56-57 °C
93228,241.0 °C
38839,62.3 °C
38854,166.9 °C
38854,167 °C
38884,50.5 °C
39040,187.0 °C
39040,187-188°C
39147,124-130
39147,130.0 °C
39147,124-136 °C
39147,124-136°C
39230,85.0 °C
39230,85 °C
39238,203.0 °C
92326,72.0 °C
39327,84.0 °C
39327,"85-90 °C (tech., 65-84 °C)"
39385,"180.1 °F (NTP, 1992)"
39385,82.0 °C
39385,82.3 °C
39681,54.0 °C
39681,50-54.5°C
44073,150.0 °C
44073,240°C
5405,147.0 °C
5405,146.5-148.5 °C
5405,146.5-148.5°C
39793,"Freezing point below -60° F (EPA, 1998)"
39793,Below -51 °C
4169,-51.05 °C
4169,-62.1 °C
39965,116.0 °C
39965,117.2 °C
2756,"284 to 290 °F (NTP, 1992)"
2756,142.0 °C
2756,141-143 °C
2756,142°C
40032,80.0 °C
4831,254.0 °C
4831,253-255°C
6921791,253-255°C
93267,194.0 °C
40413,128.0 °C
40470,50°F
40521,85.0 °C
40585,100.0 °C
40585,90 °C
40585,MP: 98-101 °C
40585,100°C
40585,98-101 °C
91650,96.3 °C
91650,88-89°C
91651,141.0 °C
91652,180.0 °C
68704,119-121
40896,184.0 °C
40896,183-185 °C
65450,154.0 °C
7048572,327°C
51039,327°C
41017,69.5 °C
91656,127.0 °C
41368,124.0 °C
41368,118-130 °C
4938,69.0 °C
4891,136.0 °C
4891,136°C
41385,165.0 °C
41385,167 to 169 °C
41428,149.0 °C
41428,150.5 °C
41428,148-150 °C
41463,27.0 °C
41632,92.5 °C
41648,119.5 °C
41693,97.0 °C
41693,96.6 °C
41693,97°C
63080,73.0 °C
73668,95.0 °C
91662,85.0 °C
91664,79.0 °C
91664,79-79.5 °C
91664,MP: 75-80 °C
9576097,159.3 °C
42128,"383 to 385 °F (NTP, 1992)"
42128,196.0 °C
42128,196-196.5 °C
91665,112.0 °C
91665,112-113°C
94578,109.5 °C
91600,132.0 °C
42504,70.0 °C
42850,145.5 °C
9601227,173.0 °C
9601227,172.6 °C
43079,154.5 °C
43079,154-155 °C
65492,Decomposes at about 300 °C without melting
43226,118.0 °C
43226,117-119°C
91673,84.0 °C
91679,39.0 °C
43714,44.0 °C
44178,40.5 °C
93341,251.5 °C
9576090,55.0 °C
91683,126.0 °C
5486064,85.0 °C
94583,78.5 °C
116542,136.0 °C
91687,51.0 °C
91689,95.0 °C
47445,195.0 °C
5172949,121.0 °C
14033080,106.0 °C
14033050,72.5 °C
91693,58.5 °C
47898,104.5 °C
47898,108 °C
47898,100-107 °C
47938,86.1666666667 °C
47938,84-85 °C
