Species,Hcp
1-heptanamine,0.24
1-octanamine,0.19
2-ethyl-1-hexanamine,0.37
1-tridecanamine,0.09
dimethylamine,0.3
diethylamine,0.39
dipropylamine,0.19
dibutylamine,1
tetraethylenepentamine,3.3e+14
trimethylamine,0.076
triethylamine,0.066
tributylamine,0.4
ethylenediamine,5800
2-propen-1-amine,0.54
di-2-propenylamine,0.33
hexamethyleneimine,1.6
cyclohexanamine,2.4
3-methylcyclohexylamine,1.1
hexamethylenetetramine,6200
1-decanamine,0.15
1-dodecanamine,0.037
1-octadecanamine,0.01
aminobenzene,5.2
2-methylbenzenamine,5
3-methylbenzenamine,5.9
4-methylbenzenamine,13
2-ethylaniline,2.7
4-ethylaniline,3.1
"2,4-dimethylbenzenamine",2.4
"3,4-dimethylbenzenamine",5.3
"2,5-dimethylbenzenamine",3.9
"2,6-dimethylbenzenamine",3.9
"2,4,5-trimethylbenzenamine",3.9
"2,6-diethylbenzenamine",9
"1,2-benzenediamine",1400
"1,3-benzenediamine",7600
"1,4-benzenediamine",15000
"2-methyl-1,3-benzenediamine",13000
"2-methyl-1,4-benzenediamine",13000
"3-methyl-1,2-benzenediamine",10000
"4-methyl-1,3-benzenediamine",10000
"3,5-diaminotoluene",13000
phenylhydrazine,340
benzeneethanamine,12
"2,3-dimethylbenzenamine",3.9
"3,5-dimethylbenzenamine",3.9
dimethylaniline,3.9
phenelzine,2900
"2,4,6-trimethylbenzenamine",3.7
2-ethyl-6-methylbenzenamine,3.2
1-naphthylamine,160
2-naphthylamine,120
"1,5-naphthalenediamine",150000
phentermine,7
"3,5-diethyltoluene-2,6-diamine",0.62
"2,4-diethyl-6-methylbenzene-1,3-diamine",6200
diphenylamine,3.7
benzidine,2.2e+06
"1,1-diphenylhydrazine",240
"1,2-diphenylhydrazine",21
4-(phenylazo)-benzenamine,110000
azobenzene,0.7
2-aminobiphenyl,66
4-aminobiphenyl,66
2-fluorenamine,270
"4,4’-methylenebisbenzenamine",190000
2-anthracenamine,33
"3,3’-dimethylbenzidine",160000
"4,4’-methylene-bis-(N-methylaniline)C15H18N2",34000
"3,3’,5,5’-tetramethylbenzidine",130000
yellow OB,18000
auramine,120
benzphetamine,23
"4,4’-methylenebis(N,N-dimethylbenzenamine)",82
phencyclidine,1.8
amitraz,1
"p,p’-benzylidenebis(N,N-dimethylaniline)",1000
tris(2-ethylhexyl)amine,0.0007
"4,4’,4”-methylidyne-tris(N,N-dimethylbenzenamine)",64000
"4,4’,4”-methanetriyltris(N,N-diethylaniline)",90000
pyrrolidine,4.2
1-pyrroline,1.6
3-pyrroline,4.9
piperidine,2.8
"1,4-diazacyclohexane",100
cyromazine,1.7e+08
1H-benzotriazole,31
1H-benzimidazole,27
2-ethenylpyridine,2.7
4-ethenylpyridine,3.1
"1,3,5-tricyclohexylhexahydro-1,3,5-triazine",0.017
1-piperazineethanamine,0.15
pyrrole,0.55
1-methyl-1H-pyrrole,0.009
pyridine,1.1
pyridine-d5,4.2
2-methylpyridine,0.99
3-methylpyridine,0.42
4-methylpyridine,1.7
4-aminopyridine,43000
2-aminopyridine,3900
2-ethylpyridine,0.6
3-ethylpyridine,0.95
4-ethylpyridine,1.2
"2,3-dimethylpyridine",1.4
"2,4-dimethylpyridine",0.99
"2,5-dimethylpyridine",1.1
"2,6-dimethylpyridine",0.66
"3,4-dimethylpyridine",2.7
"3,5-dimethylpyridine",1.4
5-ethyl-2-methylpyridine,0.52
"2,4,6-trimethylpyridine",1.1
"4-(1,1-dimethylethyl)-pyridine",0.39
"2,6-bis-(1,1-dimethylethyl)-pyridine",0.0008
1-methyl-1H-imidazole,110
amitrole,4.5e+07
"1,3-diazine",10
"1,3,5-triazine-2,4,6-triamine",5.5e+08
3-cyanopyridine,36
4-cyanopyridine,11
indole,19
2-methylpyrazine,4.5
2-ethylpyrazine,4
"2,5-dimethylpyrazine",7.1
"2,6-dimethylpyrazine",0.98
2-isobutylpyrazine,2
2-(1-methylpropyl)-pyrazine,1.6
5-ethenyl-2-methylpyridine,2.2
nornicotine,7200
"2,4-diamino-6-phenyl-1,3,5-triazine",240000
3-methylindole,4.7
"2,3-diethyl-5-methylpyrazine",0.81
benzo[b]pyridine,5.8
benzo[c]pyridine,0.52
nicotine,3300
"2,2’-bipyridine",18000
4-methylquinoline,13
"3-(phenylazo)-2,6-pyridinediamine",3e+09
"2-amino-9H-pyrido[2,3-b]indole",2.5e+08
carbazole,93
o-phenanthroline,110000
benzyladenine,1.1e+08
pyrimethanil,3.9
paraquat,2.4e+08
acridine,33
cyprodinil,120
imiquimod,1.2e+07
benz[c]acridine,370
"6-pentyl-1,2,3,4,7,8,9,10-octahydrophenanthridine",0.45
2-diphenylmethylpiperidine,66
"7H-dibenzo[c,g]carbazole",0.4
"dibenz[a,j ]acridine",5200
"dibenz[a,h]acridine",5200
cyano radical,0.00078
hydrogen cyanide,0.17
ethane nitrile,0.52
propane nitrile,0.43
butane nitrile,0.27
2-methylpropane nitrile,0.094
pentane nitrile,0.14
hexanenitrile,0.23
heptanenitrile,0.16
octanenitrile,0.13
nonanenitrile,0.1
decanenitrile,0.8
undecanenitrile,0.061
cyclohexanecarbonitrile,0.73
ethanedinitrile,0.0018
hexanedinitrile,8200
2-propenenitrile,0.12
2-methyl-2-propene nitrile,0.054
benzenenitrile,0.29
2-pyridinecarbonitrile,140
2-methylpentanedinitrile,330
"3,3’-iminobispropanenitrile",2e+06
2-methylbenzonitrile,0.76
3-methylbenzonitrile,0.17
benzeneacetonitrile,0.07
tetramethylbutanedinitrile,190
"1,2-benzenedicarbonitrile",20
"3,7-dimethyl-2,6-octadienenitrile",0.029
"2,2’-azobis(2-methylbutyronitrile)C10H16N4",45000
formamide,7000
methyl nitrite,0.15
urea,5.7e+06
ethanolamine,60000
"1,1’-azodiformamide",1.2e+07
ethyl nitrite,0.11
"carbamic acid, methyl ester",250
acetaldoxime,1.7
ethanamide,5300
methylnitrosourea,190
nitrosoazetidine,190
methylnitrosoacetamide,0.86
ethylnitrosocyanamide,0.26
2-propenamide,5500
methylvinylnitrosamine,2.7
urethane,150
2-methoxyethanamine,25
2-(methylamino)ethanol,90
1-amino-2-propanol,42000
dinitrosopiperazine,190
2-amino-3(methylamino)propionic acid,2.9e+07
diethanolamine,250000
3-methoxy-1-propanamine,48
2-[(2-aminoethyl)amino]ethanol,9e+07
tetramethylammonium hydroxide,2.3e+10
acetone cyanohydrin,80
"carbamic acid, 1-methylethyl ester",140
propylcarbamate,100
"2-butanone, oxime",8.1
nitrosoethylurethane,520
methyldiethanolamine,320000
methylbutylnitrosamine,1.7
methylpentylnitrosamine,2
ethylbutylnitrosamine,0.99
nitrosohexamethyleneimine,43
"2,6-dimethylnitrosomorpholine",35
"2,6-dimethyldinitrosopiperazine",190
ethyldiethanolamine,90000
triethanolamine,1.4e+07
o-aminophenol,49000
4-aminophenol,27000
3-aminophenol,37000
p-diaminoanisole,250000
"4-methoxy-1,3-benzenediamine",14000
2-cyano-N-[(ethylamino)carbonyl]-2-(methoxyimino)acetamide,30000
isocyanatocyclohexane,0.0058
tetryl,3700
anthranilic acid,0.26
4-aminobenzoic acid,66000
salicylamide,34000
mesalamine,2e+06
anthranilamide,1.3e+07
2-methoxy-benzenamine,12
3-methoxy-benzenamine,90
4-methoxy-benzenamine,150
4-(methylamino)phenol,22000
defenuron,0.85
norepinephrine,3.1e+13
4-methoxy-2-methylbenzenamine,82
p-cresidine,80
phthalamide,7e+06
acetaminophen,1.5e+07
methyl anthranilate,5.2
4’-aminoacetophenone,2200
"methylcarbamic acid, 3-methylphenyl",0.12
"phenylcarbamic acid, ethyl ester",340
ethyl anthranilate,620
benzocaine,620
1-(4-aminophenyl)-1-propanone,2100
fenuron,870
epinephrine,1.4e+13
meprobamate,55000
propamocarb,1600
proximpham,3900
dioxacarb,670000
"phenol, 3,5-dimethyl-, methylcarba-mate",0.25
"phenylcarbamic acid, 1-methylethyl es-ter",55
xylylcarb,91
phenacetin,47000
ephedrine,110000
m-cumenyl methylcarbamate,160
propoxur,2900
methocarbamol,1.5e+10
aminocarb,1900
monodesmethylisoproturon,280000
cycluron,820
methylneodecanamide,41
4-(phenylazo)phenol,0.15
carbaryl,99
"4,4’-oxybisbenzenamine",660000
carbofuran,99
"phenol, 3-methyl-5-(1-methylethyl)-,methylcarbamate",110
fenobucarb,150
diethyltoluamide,470
carisoprodol,14000
diethylpropion,0.43
salbutamol,1.5e+10
disperse blue 1,47
"3,3’-dimethoxybenzidine",210000
aspartame,3.9e+12
dinobuton,620
butralin,2
lauramine oxide,150000
2-aminoanthraquinone,110000
"1-amino-2-methyl-9,10-anthracenedione",8.2e+06
metalaxyl,0.33
tebutam,67
isopropalin,0.19
metoprolol,470000
fenam,410000
difenoxuron,5.6e+07
butacarb,220
oseltamivir,3.4e+10
1-[(2-methoxyphenyl)azo]-2-naphthol,90000
furalaxyl,11000
fenoxycarb,2.3e+07
bifenazate,0.1
napropamide,12000
padimate O,2.5
nadolol,7e+08
"2,6-di-tert-butyl-4-(dimethylaminomethyl)phenol",4800
naptalam,2.3e+10
citrus red 2,1.9e+07
kresoxim-methyl,2700
dinocap,2100
capsaicin,9.9e+07
phenylbutazone,1500
phenisopham,13000
formoterol,0.11
benalaxyl,83
tralkoxydim,41000
neotame,4300
colchicine,5.5e+11
tebufenozide,760
methoxyfenozide,2.6e+06
propoxyphene,4300
butroxydim,17000
"2,2-bis[4-(4-aminophenoxy)phenyl]propane",2e+08
"1,4-bis[(4-methylphenyl)amino]-9,10-anthracenedione",6.6e+10
mifepristone,0.2
"2’-anilino-6’-[ethyl(3-methylbutyl)amino]-3’-methylspiro[isobenzofuran-1(3H),9’-[9H]xanthene]-3-one",0.84
glutamic acid,9.9e+10
asparagine,9.9e+10
serine,3.9e+10
glutamine,3.3e+10
glycine,1.2e+11
arginine,9.9e+14
alanine,3.5e+10
leucine,200000
cyanuric acid,1.1e+09
isoxazole,0.24
glycidamide,77000
cyclonite,0.49
5-methyl-3-(2H)-isoxazolone,5000
allantoin,2.9e+12
2-pyrrolidinone,9300
4-nitrosomorpholine,390
cyclotetramethylenetetranitramine,11000
1-oxa-4-azacyclohexane,8.2
1-aziridineethanol,13000
2-ethyl-3-methoxypyrazine,0.67
2-isobutyl-3-methoxypyrazine,0.17
1-nitrosopiperidine,11
butyl carbamate,110
4-methyl-1-oxa-4-azacyclohexane,0.18
allopurinol,4.9e+08
"5,5-dimethyl-2,4-imidazolidinedione",3500
2-azacycloheptanone,180000
glucosamine,1.3e+10
3-formylpyridine,65
4-formylpyridine,56
niacinamide,3.4e+06
metronidazole,580000
glydant,1.4e+06
3-quinuclidinol,12000
dinotefuran,1.5e+08
"1,2,3-benzotriazin-4(1H)-one",31000
4-acetylpyridine,160
3-acetylpyridine,460
theophylline,5.5e+08
theobromine,620000
2-pyridineethanol,66000
caffeine,900000
acyclovir,3.1e+16
2-methoxy-3-(1-methylethyl)-pyrazine,15
simeton,15000
phthalimide,990
furazolidone,300000
"1,2,3,6-tetrahydrophthalimide",330
"9-[(1,3-dihydroxy-2-propoxy)methyl]guanine",6.6e+17
atraton,6400
"4-hydroxy-2,2,6,6-tetramethyl-1-piperidinyloxy",3.3e+09
8-hydroxyquinoline,17
carbendazim,470000
metamitron,2.2e+06
pymetrozin,330000
3-oxo-N-phenylbutanamide,2.3e+06
"2,3’-didehydro-3’-deoxythymidine",0.43
cotinine,3e+06
4-(N-nitroso-N-methylamino)-1-(3-pyridyl)-1-butanone,1.2e+08
9-(4-hydroxy-3-hydroxymethylbut-1-yl)guanine,1e+26
anatoxin A,1500
dimetilan,240000
isolan,4900
amicarbazone,1.5e+07
prometone,11000
secbumeton,2800
terbumeton,2100
kinetin,0.82
carbadox,2.2e+17
bendiocarb,250
"2,3,5-trimethylphenol, methylcarba-mate",45
butalbital,1.6e+07
dexrazoxane,4.7e+13
pentobarbital,1.2e+07
pirimor,12000
ethirimol,3600
fenfuram,25000
phenobarbital,5.8e+08
triaziquone,1.1e+10
triallyl cyanurate,23
entecavir,6.2e+15
metaxalone,37000
phendimetrazine,370
hexazinone,99
picaridin,330000
pyrinuron,5.4e+10
melatonin,3.8e+08
"dibenz[b,f ]][1,4]oxazepine",0.0024
benomyl,520000
trimethoprim,4.1e+08
famciclovir,1e+08
furmecyclox,140
oxcarbazepine,1.4e+07
phenytoin,970000
carbamazepine,0.9
propylthiouracil,9000
ancymidol,4.7e+06
imazethapyr,9.9e+10
imazamox,1.1e+13
cycloheximide,2.8e+09
oxymatrine,9.9e+12
mebendazole,1.8e+10
fenpyroximate,7.6
imazamethabenz-methyl,2.6e+06
nifedipine,1.4e+08
oxymorphone,2.4e+13
desomorphine,2.4e+06
cocaine,230000
quinophthalone,1.6e+08
tetramethrin,5.8
isoxaben,7800
alfuzosin,1e+14
pyriproxyfen,16000
papaverine,1.3e+07
fenazaquin,99
bitertanol,12000
bitertanol diastereoisomer a,3.1e+06
bitertanol diastereoisomer b,1.5e+06
naltrexone,2.3e+13
ibogaine,820000
fenpropimorph,6.2
strychnine,1.6e+08
nalmefene,5.5e+10
benztropine,4500
stanozolol,900
azoxystrobin,1.4e+08
famoxadone,210
tadalafil,2e+12
bisacodyl,1.4e+06
fentanyl,1.1e+06
4-(triphenylmethyl)morpholine,76000
brucine,4.7e+10
mycophenolate mofetil,1.8e+09
pinoxaden,1.1e+06
valsartan,0.32
donepezil,8.2e+06
2-[4-[4-(2-benzoxazolyl)styryl]phenyl]-5-methylbenzoxazole,7.5e+08
"2-(2H-benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)phenol",7.2e+09
norbormide,3.7e+17
reserpine,1.8e+17
telaprevir,1.3e+25
lopinavir,2.3e+22
atazanavir,2.7e+26
tylosin,1.7e+32
nystatin,49000
"1,3,5-tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazinane-2,4,6-trione",6.1e+20
urea nitrate,5.8e+11
methyl nitrate,0.02
ethyl nitrate,0.016
1-propyl nitrate,0.011
2-propyl nitrate,0.0078
1-butyl nitrate,0.01
2-butyl nitrate,0.64
2-methyl-1-nitropropane,0.007
1-pentyl nitrate,0.0066
2-pentyl nitrate,0.0037
3-pentyl nitrate,0.0038
3-methyl-1-butanol nitrate,0.005
pentaerythritol tetranitrate,7600
1-hexyl nitrate,0.0076
2-nitrooxyethanol,0.39
1-nitrooxy-2-propanol,66
2-nitrooxy-1-propanol,72
1-nitrooxy-2-butanol,89
2-nitrooxy-1-butanol,88
2-nitrooxy-3-butanol,100
3-nitrooxy-1-butanol,140
4-nitrooxy-1-butanol,290
4-nitrooxy-2-butanol,130
4-nitrooxy-1-pentanol,200
5-nitrooxy-2-pentanol,360
1-nitrooxy-2-propanone,10
"1,2-ethanediol dinitrate",6.3
"1,2-propanediol dinitrate",1.7
"1,3-propanediol dinitrate",1.3
"1,2,3-propanetriol trinitrate",230
"1,2-butanediol dinitrate",0.21
"1,3-butanediol dinitrate",0.57
"1,4-butanediol dinitrate",1.6
"2,3-butanediol dinitrate",0.12
"1,2-pentanediol dinitrate",0.13
"1,4-pentanediol dinitrate",0.39
"1,5-pentanediol dinitrate",1.2
"1,2-hexanediol dinitrate",0.096
"1,5-hexanediol dinitrate",0.27
"1,6-hexanediol dinitrate",1.5
"2,5-hexanediol dinitrate",0.31
"1,7-heptanediol dinitrate",1.1
"1,2-octanediol dinitrate",0.052
"1,8-octanediol dinitrate",0.78
"1,2-decanediol dinitrate",0.02
"1,10-decanediol dinitrate",0.43
diethylene glycol dinitrate,25
peroxyacetyl nitrate,0.029
peroxypropionyl nitrate,0.029
nitro butaneperoxoate,0.023
peroxy-2-propenoyl nitrate,0.017
peroxy-isobutyryl nitrate,0.0099
isocyanic acid,0.21
hydroxyacetonitrile,1.3
2-hydroxypropanenitrile,1
3-hydroxypropanenitrile,23000
"cyanoethanoic acid, ethyl ester",34
2-hydroxybenzoic acid nitrile,28
3-hydroxybenzoic acid nitrile,40000
4-hydroxybenzoic acid nitrile,14000
"1,1’,1”-nitrilotris-2-propanol",1e+06
cyometrinil,11000
fenpropathrin,0.055
nitromethane,0.34
nitromethane-13C,0.48
nitroethane,0.21
1-nitropropane,0.13
2-nitropropane,0.083
1-nitrobutane,0.097
tert-butylnitrite,7900
1-nitropentane,0.047
tris(hydroxymethyl)ethane trinitrate,2200
1-nitrohexane,0.045
nitrocyclohexane,0.24
2-nitroethanol,160
1-nitro-2-propanol,79
2-nitro-1-propanol,99
1-nitro-2-butanol,73
2-nitro-1-butanol,75
3-nitro-2-butanol,57
nitroguanidine,2.2e+10
tetranitromethane,0.41
"2-(hydroxymethyl)-2-nitro-1,3-propanediol",2.1e+06
nitrobenzene,0.64
nitrobenzene-d5,0.85
2-nitrotoluene,0.79
3-nitrotoluene,1.1
4-nitrotoluene,1.8
"1,2-dinitrobenzene",190
"1,3-dinitrobenzene",200
"1,4-dinitrobenzene",0.2
"1,3,5-trinitrobenzene",1500
2-nitrobenzenamine,170
3-nitrobenzenamine,690
4-nitrobenzenamine,8600
"2,4-dinitrobenzenamine",65000
"1-methyl-2,3-dinitrobenzene",110
"1-methyl-2,4-dinitrobenzene",180
"2-methyl-1,4-dinitrobenzene",0.18
"2-methyl-1,3-dinitrobenzene",15
"4-methyl-1,2-dinitrobenzene",110
"1-methyl-2,4,6-trinitrobenzene",470
"2,4,6-trinitro-1,3-dimethyl-5-tert-butylbenzene",0.32
2-nitrophenol,1.4
3-nitrophenol,160
4-nitrophenol,210
3-methyl-2-nitrophenol,3.2
4-methyl-2-nitrophenol,0.67
5-methyl-2-nitrophenol,0.77
6-methyl-2-nitrophenol,0.29
3-methyl-4-nitrophenol,620
4-methoxy-2-nitrophenol,5.3
4-hydroxy-3-nitro-benzaldehyde,9.4
"2,4-dinitrophenol",0.11
"2,5-dinitrophenol",15
picramic acid,1e+06
4-amino-2-nitrophenol,4.5e+06
2-amino-5-nitrophenol,1.3e+07
2-amino-4-nitrophenol,4.5e+06
4-nitro-o-phenylenediamine,1.3e+06
"4-nitrobenzene-1,3-diamine",170000
"2-nitro-1,4-benzenediamine",170000
"4-methyl-2,6-dinitrophenol",190
"2-methyl-4,6-dinitrophenol",0.43
"2,4,6-trinitrobenzoic acid",3.8e+08
5-nitrobenzimidazole,27
4-nitrobenzoic acid,26000
dinitrotoluene,110
"1-methyl-3,5-dinitrobenzene",110
1-methoxy-2-nitrobenzene,23
2-methyl-5-nitrobenzenamine,1200
2-methoxy-5-nitrobenzenamine,760
"1,2-dimethyl-3-nitrobenzene",0.19
"1,2-dimethyl-4-nitrobenzene",0.39
"1,4-dimethyl-2-nitrobenzene",0.39
"2,4-dimethyl-1-nitrobenzene",0.39
4-methyl-2-nitroanisole,7.2
1-(1-methylethyl)-4-nitrobenzene,0.24
"2-(1-methylpropyl)-4,6-dinitrophenol",2.2
1-nitronaphthalene,5.6
dinoterb,0.93
4-(1-methylpropyl)-2-nitrophenol,0.1
musk ambrette (artificial)C12H16N2O5,14
bis(p-nitrophenyl) ether,5400
4-nitro-N-phenylbenzenamine,2400
"2-cyclohexyl-4,6-dinitrophenol",180
dipicrylamine,4.3e+11
"1,2-dihydro-5-nitroacenaphthylene",9
"4-nitro-1,1’-biphenyl",2.8
2-nitro-9H-fluorene,34
"5-tert-butyl-4,6-dinitro-1,2,3-trimethylbenzene",34
penoxaline,12
"2,6-dinitro-4-octylphenol",0.16
musk ketone,3
moskene,48
9-ethyl-3-nitrocarbazole,330
"1-[(2,4-dinitrophenyl)azo]-2-naphthol",1.1e+09
"3,7-dinitrofluoranthene",49000
"1,6-dinitropyrene",76000
"1,8-dinitropyrene",76000
1-nitropyrene,390
4-nitropyrene,390
1-[(4-methyl-2-nitrophenyl)azo]-2-naphthalenol,8.2e+06
phenyl 1-hydroxy-4-nitro-2-naphthoate,0.15
6-nitrochrysene,660
1-nitrobenzo[a]pyrene,3100
3-nitrobenzo[a]pyrene,3100
6-nitrobenzo[a]pyrene,3100
fluoromethane,0.00061
difluoromethane,0.00069
trifluoromethane,0.13
tetrafluoromethane,2.1e-06
fluoroethane,0.00048
"1,1-difluoroethane",0.00053
"1,1,1,2-tetrafluoroethane",0.18
pentafluoroethane,3.5e-05
hexafluoroethane,6.5e-07
1-fluoropropane,0.00057
2-fluoropropane,0.00025
"1,1,1,2,2-pentafluoropropane",0.3
"1,1,1,3,3,3-hexafluoropropane",1.2e-06
"1,1,1,2,3,3,3-heptafluoropropane",1.4e-05
octafluoropropane,0.12
octafluorocyclobutane,1.3e-06
dodecafluoropentane,6.1e-06
fluorocyclohexane,0.0013
1-fluoroheptane,0.00027
hexadecafluoroheptane,1.9e-07
1-fluorooctane,0.00015
eicosafluorononane,4.5e-09
perfluoroundecane,1.3e-13
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-henicosafluorododecane",5.1e-10
"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorotetradecane",0.64
"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoroicosane",2.5e-07
"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluorodocosane",2e-07
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorotetracosane",4e-09
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-henicosafluorohexacosane",3.2e-11
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluorohexacosane",1.6e-13
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluorooctacosane",8e-14
"1,1-difluoroethene",2.5e-05
tetrafluoroethene,1.6e-05
hexafluoropropene,0.29
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-pentacosafluorooctacos-13-ene",8e-11
fluorobenzene,0.0016
"1,2-difluorobenzene",0.12
"1,3-difluorobenzene",0.0013
"1,4-difluorobenzene",0.0016
"1,2,3,5-tetrafluorobenzene",0.0005
"1,2,4,5-tetrafluorobenzene",0.0007
pentafluorobenzene,0.00075
hexafluorobenzene,0.00055
decafluorobiphenyl,0.0067
carbonyl fluoride,0.35
formyl fluoride,0.03
2-fluoroethanol,1.4
"2,2,2-trifluoroethanol",0.47
"1,1,1-trifluoro-2-propanol",0.45
"2,2,3,3-tetrafluoro-1-propanol",1.4
"2,2,3,3,3-pentafluoro-1-propanol",0.14
"1,1,1,3,3,3-hexafluoro-2-propanol",0.24
trifluoroacetylfluoride,0.03
"1,1,1-trifluoro-2-propanone",1.4
fluoroethanoic acid,800
difluoroethanoic acid,0.3
trifluoroethanoic acid,89
perfluorohexanoic acid,0.44
perfluoroheptanoic acid,0.00057
pentadecafluorooctanoic acid,0.049
perfluorononanoic acid,0.043
perfluorodecanoic acid,0.025
perfluoroundecanoic acid,0.013
perfluorododecanoic acid,0.64
perfluorotetradecanoic acid,0.0016
"ethyl 2,2,2-trifluoroethyl ether",0.00072
"2,2,2-trifluoroethyl methanoate",0.0054
"2,2,2-trifluoroethyl ethanoate",0.0055
"trifluoroethanoic acid, methyl ester",0.0011
"trifluoroethanoic acid, ethyl ester",0.00089
trifluoro(trifluoromethyl)-oxirane,8.8e-06
heptafluorobutanoic acid,0.082
"3,3,4,4,4-pentafluorobutan-1-ol",0.051
"1,1,1,2,2,3,4,5,5,5-decafluoropentane",0.44
"1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane",9.9e-06
"1-ethoxy-1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propane",7.5e-06
"1H,1H,2H,2H-perfluorohexan-1-ol",0.0066
"1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane",7.5e-06
"1H,1H,2H,2H-perfluorooctan-1-ol",0.00017
"methyl perfluoro(8-(fluoroformyl)-5-methyl-4,7-dioxanonanoate)",0.058
"3,3,4,4,5,5,6,6,6-nonafluorohexyl",3.4e-05
"1H,1H,2H,2H-perfluorodecan-1-ol",0.0002
"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl acrylate",1.9e-06
2-(perfluorohexyl)ethyl methacrylate,1.2e-06
"1,1,2,2-tetrahydroperfluoro dodecanol",0.00013
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl acrylate",7e-08
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl methacrylate",4.4e-08
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecan-1-ol",0.31
2-(perfluorodecyl)ethyl acrylate,2.5e-09
"1,1,2,2-tetrahydroperfluoro-1-hexadecanol",1.1e-10
2-(perfluorodecyl)ethyl methacrylate,1.6e-09
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl prop-2-enoate",9e-11
2-perfluorododecylethyl methacrylate,5.8e-11
"1,1,2,2-tetrahydroperfluoro-1-octadecanol",4.1e-12
"1,1,2,2-tetrahydroperfluorohexadecyl",3.3e-12
"1,1,2,2-tetrahydroperfluoroeicosyl",1.5e-13
2-hydroxyfluorobenzene,3.1
4-hydroxyfluorobenzene,14
3-fluorophenol,9
"2,6-difluorophenol",0.7
"4,4’-(hexafluoroisopropylidene)diphenol",17000
perfluorotributylamine,1.8e-10
tris(undecafluoropentyl)amine,1.2e-12
2-fluoroacetamide,440
5-fluorouracil,58000
"1-fluoro-2,4-dinitrobenzene",100
5-fluoro-2-nitrophenol,0.5
4-nitro-3-(trifluoromethyl)phenol,0.52
1-nitro-3-(trifluoromethyl)benzene,0.053
1-isocyanato-3-(trifluoromethyl)-benzene,0.0048
flonicamid,2.4e+07
trifluridine,1e+11
fluometuron,5800
dinitramine,7.1
5-methyl-N-[4-(trifluoromethyl)phenyl]-4-isoxazolecarboxamide,80000
fluconazole,9.9e+07
ethalfluralin,0.076
benfluralin,0.34
trifluralin,0.095
profluralin,0.034
flumequine,3.7e+07
flunitrazepam,430000
fluazifop-butyl,47
flumioxazin,16
fluridone,2800
cyhalofop-butyl,1000
raltegravir,1.1e+17
fluacrypyrim,0.3
trifloxystrobin,430
etoxazole,99
droperidol,3.7e+11
paliperidone,1.2e+15
risperidone,4.5e+10
ezetimibe,2.2e+12
cerivastatin,1.7e+13
"flucythrinate, isomer 1",110
chloromethane,0.0013
dichloromethane,0.0036
dichloromethane-d2,0.0038
trichloromethane,0.0025
tetrachloromethane,34000
chloroethane,0.00083
"1,1-dichloroethane",0.17
"1,2-dichloroethane",0.0089
"1,2-dichloroethane-d4",0.0087
"1,1,1-trichloroethane",0.6
"1,1,2-trichloroethane",0.011
"1,1,2-trichloroethane-d3",0.013
"1,1,1,2-tetrachloroethane",0.42
"1,1,2,2-tetrachloroethane",0.024
pentachloroethane,0.45
hexachloroethane,0.0025
1-chloropropane,0.00069
2-chloropropane,0.00054
"1,1-dichloropropane",0.0026
"1,2-dichloropropane",0.0034
"1,2-dichloropropane-d6",0.0036
"1,3-dichloropropane",130
"2,2-dichloropropane",0.00044
"1,1,1-trichloropropane",0.0038
"1,1,2-trichloropropane",0.014
"1,2,3-trichloropropane",0.036
"1,1,2,2,3-pentachloropropane",0.014
1-chloro-2-methylpropane,0.83
2-chloro-2-methylpropane,0.00022
1-chlorobutane,0.00067
2-chlorobutane,0.00041
"1,1-dichlorobutane",0.0013
"1,4-dichlorobutane",0.02
"2,3-dichlorobutane",0.0025
1-chloropentane,0.42
2-chloropentane,0.00036
3-chloropentane,0.00038
"1,2-dichloropentane",0.0048
"1,5-dichloropentane",0.018
"2,3-dichloropentane",0.0029
