,Substance,Hcp
1381,"5-propyl-1,3-benzodioxole",0.82
1382,2-methoxy-4-(1-propenyl)phenol,2.7
1383,p-cresyl glycidyl ether,13
1384,4-(4-hydroxyphenyl)-2-butanone,18000
1385,guaifenesin,220000
1386,levomenthol,0.66
1387,diethylene glycol hexyl ether,580
1388,2-[2-(2-butoxyethoxy)ethoxy]ethanol,1e+08
1389,"4-methoxy-6-(2-propenyl)-1,3-",18
1390,butylparaben,1200
1391,2-tert-butyl-4-methoxyphenol,8.4
1392,3-hydroxy-2-naphthalenecarboxylic,7000
1393,arbutin,8.2e+13
1394,butopyronoxyl,210
1395,diethylene glycol bis(methacrylate),12000
1396,dikegulac,5.2e+10
1397,propofol,4.7
1398,lactitol,1.2e+16
1399,maltitol,2.3e+15
1400,naphthalic anhydride,16
1401,methoxsalen,250
1402,bisphenol F,1.9e+06
1403,ibuprofen,0.66
1404,benzoyl peroxide,2.8
1405,oxybenzone,660
1406,resveratrol,7e+10
1407,pindone,1.1e+06
1408,"1,1’-[oxybis(methylene)]bisbenzene",120
1409,"butanoic acid, 3,3-bis((1,1-",5
1410,"1-hydroxy-9,10-anthracenedione",1400
1411,danthron,180000
1412,bisphenol A,250000
1413,atractylenolide III,1000
1414,deoxynivalenol,4.9e+08
1415,nivalenol,0.14
1416,tributyrin,1000
1417,diosmetin,3.3e+12
1418,shikonin,1.2e+09
1419,"2,2-bis(4-hydroxyphenyl)butane",820000
1420,"ethyl 3,3-bis(tert-amylperoxy)butyrate",2.9
1421,aflatoxin B1,7e+07
1422,aflatoxin G1,2e+07
1423,aflatoxin B2,3.3e+09
1424,aflatoxin G2,9e+08
1425,bisphenol C,900000
1426,fusarenon X,2.1e+11
1427,dihydrotanshinone I,76000
1428,diethylstilbestrol,170
1429,estrone,26000
1430,estradiol,270000
1431,estriol,7.6e+06
1432,nandrolone,3700
1433,diofenolan,150
1434,dicumarol,7e+07
1435,coumatetralyl,1.7e+08
1436,warfarin,37000
1437,tanshinone II,2000
1438,gibberellic acid,6.2e+09
1439,prallethrin,6.2
1440,testolactone,160
1441,androstenedione,270
1442,diacetoxyscirpenol,0.1
1443,testosterone,2800
1444,5α-androst-16-en-4-one,0.034
1445,oxandrolone,430
1446,piperonyl butoxide,110000
1447,methoprene,1.4
1448,fluorescein,1.1e+11
1449,phenolphthalein,1.1e+10
1450,avobenzone,49000
1451,ethinyl estradiol,1.2e+06
1452,norethynodrel,7600
1453,norethindrone,17000
1454,methandrostenolone,4500
1455,cinerin I,10
1456,17-methyltestosterone,0.21
1457,drostanolone,1200
1458,curcumin,1.4e+16
1459,bisphenol A diglycidyl ether,220000
1460,mestranol,2200
1461,prednisone,35000
1462,norgestrel,13000
1463,levonorgestrel,13000
1464,pyrethrin I,0.22
1465,cinerin II,11000
1466,prednisolone,370
1467,dronabinol,41
1468,progesterone,150
1469,hydrocortisone,170
1470,calusterone,1600
1471,oxymetholone,6600
1472,resmethrin,76
1473,pyrethrin II,450
1474,methylprednisolone,270
1475,medroxyprogesterone,760
1476,rotenone,8.8e+07
1477,phenothrin,1.5
1478,spiromesifen,0.018
1479,digoxigenin,430000
1480,annatto,1.5e+11
1481,acequinocyl,10
1482,milk thistle extract,0.62
1483,simvastatin,35000
1484,calcitriol,32
1485,paricalcitol,26
1486,cholecalciferol,0.043
1487,cholesterol,0.058
1488,ergosterol,0.062
1489,dihydrotachysterol,0.027
1490,etoposide,5.8e+24
1491,stigmasterol,0.038
1492,pseudohypericin,5.5e+23
1493,gossypol,4.3e+22
1494,maslinic acid,280000
1495,difenacoum,7e+06
1496,nonoxynol 9,0.18
1497,azadirachtin,3.5e+19
1498,monensin,4.9e+18
1499,gossyplure,0.066
1500,digitoxin,7.6e+19
1501,digoxin,2.1e+21
1502,pyrethrum,15
1503,punicalagin,5.5e+10
1504,abamectin,7000
1505,notoginsenoside R1,6.6e+25
1506,triolein,0.01
1507,tristearin,0.007
1508,cyanamide,37000
1509,methylhydrazine,3.3
1510,methanamine,0.35
1511,ethanamine,0.35
1512,"1H-1,2,4-triazole",6.6
1513,dicyandiamide,43000
1514,ethylenimine,0.82
1515,"1,2-dimethylhydrazine",1.8
1516,"1,1-dimethylhydrazine",0.76
1517,1-propanamine,0.5
1518,2-propanamine,0.22
1519,propanedinitrile,780
1520,1-butanamine,0.56
1521,2-butanamine,0.4
1522,2-methyl-1-propanamine,0.72
1523,2-methyl-2-propanamine,0.28
1524,"1,2-diethylhydrazine",82
1525,butanedinitrile,1500
1526,2-methyl-1H-imidazole,2.2
1527,4-methyl-1H-imidazole,2.4
1528,1-pentanamine,0.4
1529,3-methyl-1-butanamine,0.22
1530,1-hexanamine,0.32
1531,"1,6-hexanediamine",3100
1532,4-methyl-2-hexanamine,0.23
1533,1-heptanamine,0.24
1534,1-octanamine,0.19
1535,2-ethyl-1-hexanamine,0.37
1536,1-tridecanamine,0.09
1537,dimethylamine,0.3
1538,diethylamine,0.39
1539,dipropylamine,0.19
1540,dibutylamine,1
1541,tetraethylenepentamine,3.3e+14
1542,trimethylamine,0.076
1543,triethylamine,0.066
1544,tributylamine,0.4
1545,ethylenediamine,5800
1546,2-propen-1-amine,0.54
1547,di-2-propenylamine,0.33
1548,hexamethyleneimine,1.6
1549,cyclohexanamine,2.4
1550,3-methylcyclohexylamine,1.1
1551,hexamethylenetetramine,6200
1552,1-decanamine,0.15
1553,1-dodecanamine,0.037
1554,1-octadecanamine,0.01
1555,aminobenzene,5.2
1556,2-methylbenzenamine,5
1557,3-methylbenzenamine,5.9
1558,4-methylbenzenamine,13
1559,2-ethylaniline,2.7
1560,4-ethylaniline,3.1
1561,"2,4-dimethylbenzenamine",2.4
1562,"3,4-dimethylbenzenamine",5.3
1563,"2,5-dimethylbenzenamine",3.9
1564,"2,6-dimethylbenzenamine",3.9
1565,"2,4,5-trimethylbenzenamine",3.9
1566,"2,6-diethylbenzenamine",9
1567,"1,2-benzenediamine",1400
1568,"1,3-benzenediamine",7600
1569,"1,4-benzenediamine",15000
1570,"2-methyl-1,3-benzenediamine",13000
1571,"2-methyl-1,4-benzenediamine",13000
1572,"3-methyl-1,2-benzenediamine",10000
1573,"4-methyl-1,3-benzenediamine",10000
1574,"3,5-diaminotoluene",13000
1575,phenylhydrazine,340
1576,benzeneethanamine,12
1577,"2,3-dimethylbenzenamine",3.9
1578,"3,5-dimethylbenzenamine",3.9
1579,dimethylaniline,3.9
1580,phenelzine,2900
1581,"2,4,6-trimethylbenzenamine",3.7
1582,2-ethyl-6-methylbenzenamine,3.2
1583,1-naphthylamine,160
1584,2-naphthylamine,120
1585,"1,5-naphthalenediamine",150000
1586,phentermine,7
1587,"3,5-diethyltoluene-2,6-diamine",0.62
1588,"2,4-diethyl-6-methylbenzene-1,3-",6200
1589,diphenylamine,3.7
1590,benzidine,2.2e+06
1591,"1,1-diphenylhydrazine",240
1592,"1,2-diphenylhydrazine",21
1593,4-(phenylazo)-benzenamine,110000
1594,azobenzene,0.7
1595,2-aminobiphenyl,66
1596,4-aminobiphenyl,66
1597,2-fluorenamine,270
1598,"4,4’-methylenebisbenzenamine",190000
1599,2-anthracenamine,33
1600,"3,3’-dimethylbenzidine",160000
1601,"4,4’-methylene-bis-(N-methylaniline)",34000
1602,"3,3’,5,5’-tetramethylbenzidine",130000
1603,yellow OB,18000
1604,auramine,120
1605,benzphetamine,23
1606,"4,4’-methylenebis(N,N-",82
1607,phencyclidine,1.8
1608,amitraz,1
1609,"p,p’-benzylidenebis(N,N-",1000
1610,tris(2-ethylhexyl)amine,0.0007
1611,"4,4’,4”-methylidyne-tris(N,N-",64000
1612,"4,4’,4”-methanetriyltris(N,N-",90000
1613,pyrrolidine,4.2
1614,1-pyrroline,1.6
1615,3-pyrroline,4.9
1616,piperidine,2.8
1617,"1,4-diazacyclohexane",100
1618,cyromazine,1.7e+08
1619,1H-benzotriazole,31
1620,1H-benzimidazole,27
1621,2-ethenylpyridine,2.7
1622,4-ethenylpyridine,3.1
1623,"1,3,5-tricyclohexylhexahydro-1,3,5-",0.017
1624,1-piperazineethanamine,0.15
1625,pyrrole,0.55
1626,1-methyl-1H-pyrrole,0.009
1627,pyridine,1.1
1628,pyridine-d5,4.2
1629,2-methylpyridine,0.99
1630,3-methylpyridine,0.42
1631,4-methylpyridine,1.7
1632,4-aminopyridine,43000
1633,2-aminopyridine,3900
1634,2-ethylpyridine,0.6
1635,3-ethylpyridine,0.95
1636,4-ethylpyridine,1.2
1637,"2,3-dimethylpyridine",1.4
1638,"2,4-dimethylpyridine",0.99
1639,"2,5-dimethylpyridine",1.1
1640,"2,6-dimethylpyridine",0.66
1641,"3,4-dimethylpyridine",2.7
1642,"3,5-dimethylpyridine",1.4
1643,5-ethyl-2-methylpyridine,0.52
1644,"2,4,6-trimethylpyridine",1.1
1645,"4-(1,1-dimethylethyl)-pyridine",0.39
1646,"2,6-bis-(1,1-dimethylethyl)-pyridine",0.0008
1647,1-methyl-1H-imidazole,110
1648,amitrole,4.5e+07
1649,"1,3-diazine",10
1650,"1,3,5-triazine-2,4,6-triamine",5.5e+08
1651,3-cyanopyridine,36
1652,4-cyanopyridine,11
1653,indole,19
1654,2-methylpyrazine,4.5
1655,2-ethylpyrazine,4
1656,"2,5-dimethylpyrazine",7.1
1657,"2,6-dimethylpyrazine",0.98
1658,2-isobutylpyrazine,2
1659,2-(1-methylpropyl)-pyrazine,1.6
1660,5-ethenyl-2-methylpyridine,2.2
1661,nornicotine,7200
1662,"2,4-diamino-6-phenyl-1,3,5-triazine",240000
1663,3-methylindole,4.7
1664,"2,3-diethyl-5-methylpyrazine",0.81
1665,benzo[b]pyridine,5.8
1666,benzo[c]pyridine,0.52
1667,nicotine,3300
1668,"2,2’-bipyridine",18000
1669,4-methylquinoline,13
1670,"3-(phenylazo)-2,6-pyridinediamine",3e+09
1671,"2-amino-9H-pyrido[2,3-b]indole",2.5e+08
1672,carbazole,93
1673,o-phenanthroline,110000
1674,benzyladenine,1.1e+08
1675,pyrimethanil,3.9
1676,acridine,33
1677,cyprodinil,120
1678,imiquimod,1.2e+07
1679,benz[c]acridine,370
1680,"6-pentyl-1,2,3,4,7,8,9,10-",0.45
1681,2-diphenylmethylpiperidine,66
1682,"7H-dibenzo[c,g]carbazole",0.4
1683,"dibenz[a,j ]acridine",5200
1684,"dibenz[a,h]acridine",5200
1685,cyano radical,0.00078
1686,hydrogen cyanide,0.17
1687,ethane nitrile,0.52
1688,propane nitrile,0.43
1689,butane nitrile,0.27
1690,2-methylpropane nitrile,0.094
1691,pentane nitrile,0.14
1692,hexanenitrile,0.23
1693,heptanenitrile,0.16
1694,octanenitrile,0.13
1695,nonanenitrile,0.1
1696,decanenitrile,0.8
1697,undecanenitrile,0.061
1698,cyclohexanecarbonitrile,0.73
1699,ethanedinitrile,0.0018
1700,hexanedinitrile,8200
1701,2-propenenitrile,0.12
1702,2-methyl-2-propene nitrile,0.054
1703,benzenenitrile,0.29
1704,2-pyridinecarbonitrile,140
1705,2-methylpentanedinitrile,330
1706,"3,3’-iminobispropanenitrile",2e+06
1707,2-methylbenzonitrile,0.76
1708,3-methylbenzonitrile,0.17
1709,benzeneacetonitrile,0.07
1710,tetramethylbutanedinitrile,190
1711,"1,2-benzenedicarbonitrile",20
1712,"3,7-dimethyl-2,6-octadienenitrile",0.029
1713,"2,2’-azobis(2-methylbutyronitrile)",45000
1714,formamide,7000
1715,methyl nitrite,0.15
1716,urea,5.7e+06
1717,ethanolamine,60000
1718,"1,1’-azodiformamide",1.2e+07
1719,ethyl nitrite,0.11
1720,"carbamic acid, methyl ester",250
1721,acetaldoxime,1.7
1722,ethanamide,5300
1723,methylnitrosoacetamide,0.86
1724,ethylnitrosocyanamide,0.26
1725,2-propenamide,5500
1726,methylvinylnitrosamine,2.7
1727,urethane,150
1728,2-methoxyethanamine,25
1729,2-(methylamino)ethanol,90
1730,1-amino-2-propanol,42000
1731,2-amino-3(methylamino)propionic acid,2.9e+07
1732,diethanolamine,250000
1733,3-methoxy-1-propanamine,48
1734,2-[(2-aminoethyl)amino]ethanol,9e+07
1735,tetramethylammonium hydroxide,2.3e+10
1736,acetone cyanohydrin,80
1737,"carbamic acid, 1-methylethyl ester",140
1738,propylcarbamate,100
1739,"2-butanone, oxime",8.1
1740,nitrosoethylurethane,520
1741,methyldiethanolamine,320000
1742,methylbutylnitrosamine,1.7
1743,methylpentylnitrosamine,2
1744,ethylbutylnitrosamine,0.99
1745,nitrosohexamethyleneimine,43
1746,"2,6-dimethylnitrosomorpholine",35
1747,ethyldiethanolamine,90000
1748,triethanolamine,1.4e+07
1749,o-aminophenol,49000
1750,4-aminophenol,27000
1751,3-aminophenol,37000
1752,p-diaminoanisole,250000
1753,"4-methoxy-1,3-benzenediamine",14000
1754,2-cyano-N-[(ethylamino)carbonyl]-2-,30000
1755,isocyanatocyclohexane,0.0058
1756,tetryl,3700
1757,anthranilic acid,0.26
1758,4-aminobenzoic acid,66000
1759,salicylamide,34000
1760,mesalamine,2e+06
1761,anthranilamide,1.3e+07
1762,2-methoxy-benzenamine,12
1763,3-methoxy-benzenamine,90
1764,4-methoxy-benzenamine,150
1765,4-(methylamino)phenol,22000
1766,defenuron,0.85
1767,norepinephrine,3.1e+13
1768,4-methoxy-2-methylbenzenamine,82
1769,p-cresidine,80
1770,phthalamide,7e+06
1771,acetaminophen,1.5e+07
1772,methyl anthranilate,5.2
1773,4’-aminoacetophenone,2200
1774,"methylcarbamic acid, 3-methylphenyl",0.12
1775,"phenylcarbamic acid, ethyl ester",340
1776,ethyl anthranilate,620
1777,benzocaine,620
1778,1-(4-aminophenyl)-1-propanone,2100
1779,fenuron,870
1780,epinephrine,1.4e+13
1781,meprobamate,55000
1782,propamocarb,1600
1783,proximpham,3900
1784,dioxacarb,670000
1785,"phenol, 3,5-dimethyl-, methylcarba-",0.25
1786,"phenylcarbamic acid, 1-methylethyl es-",55
1787,xylylcarb,91
1788,phenacetin,47000
1789,ephedrine,110000
1790,m-cumenyl methylcarbamate,160
1791,propoxur,2900
1792,methocarbamol,1.5e+10
1793,aminocarb,1900
1794,monodesmethylisoproturon,280000
1795,cycluron,820
1796,methylneodecanamide,41
1797,4-(phenylazo)phenol,0.15
1798,"4,4’-oxybisbenzenamine",660000
1799,"phenol, 3-methyl-5-(1-methylethyl)-,",110
1800,fenobucarb,150
1801,diethyltoluamide,470
1802,carisoprodol,14000
1803,diethylpropion,0.43
1804,salbutamol,1.5e+10
1805,disperse blue 1,47
1806,"3,3’-dimethoxybenzidine",210000
1807,aspartame,3.9e+12
1808,dinobuton,620
1809,butralin,2
1810,lauramine oxide,150000
1811,2-aminoanthraquinone,110000
1812,"1-amino-2-methyl-9,10-",8.2e+06
1813,metalaxyl,0.33
1814,tebutam,67
1815,isopropalin,0.19
1816,metoprolol,470000
1817,fenam,410000
1818,difenoxuron,5.6e+07
1819,butacarb,220
1820,oseltamivir,3.4e+10
1821,1-[(2-methoxyphenyl)azo]-2-naphthol,90000
1822,furalaxyl,11000
1823,fenoxycarb,2.3e+07
1824,bifenazate,0.1
1825,napropamide,12000
1826,padimate O,2.5
1827,nadolol,7e+08
1828,"2,6-di-tert-butyl-4-",4800
1829,citrus red 2,1.9e+07
1830,kresoxim-methyl,2700
1831,dinocap,2100
1832,capsaicin,9.9e+07
1833,phenylbutazone,1500
1834,phenisopham,13000
1835,formoterol,0.11
1836,benalaxyl,83
1837,tralkoxydim,41000
1838,neotame,4300
1839,colchicine,5.5e+11
1840,tebufenozide,760
1841,methoxyfenozide,2.6e+06
1842,propoxyphene,4300
1843,butroxydim,17000
1844,"2,2-bis[4-(4-",2e+08
1845,"1,4-bis[(4-methylphenyl)amino]-9,10-",6.6e+10
1846,mifepristone,0.2
1847,2’-anilino-6’-[ethyl(3-,0.84
1848,glutamic acid,9.9e+10
1849,asparagine,9.9e+10
1850,serine,3.9e+10
1851,glutamine,3.3e+10
1852,glycine,1.2e+11
1853,arginine,9.9e+14
1854,alanine,3.5e+10
1855,leucine,200000
1856,cyanuric acid,1.1e+09
1857,isoxazole,0.24
1858,glycidamide,77000
1859,cyclonite,0.49
1860,5-methyl-3-(2H)-isoxazolone,5000
1861,allantoin,2.9e+12
1862,2-pyrrolidinone,9300
1863,4-nitrosomorpholine,390
1864,cyclotetramethylenetetranitramine,11000
1865,1-oxa-4-azacyclohexane,8.2
1866,1-aziridineethanol,13000
1867,2-ethyl-3-methoxypyrazine,0.67
1868,2-isobutyl-3-methoxypyrazine,0.17
1869,1-nitrosopiperidine,11
1870,butyl carbamate,110
1871,4-methyl-1-oxa-4-azacyclohexane,0.18
1872,allopurinol,4.9e+08
1873,"5,5-dimethyl-2,4-imidazolidinedione",3500
1874,2-azacycloheptanone,180000
1875,glucosamine,1.3e+10
1876,3-formylpyridine,65
1877,4-formylpyridine,56
1878,niacinamide,3.4e+06
1879,metronidazole,580000
1880,glydant,1.4e+06
1881,3-quinuclidinol,12000
1882,dinotefuran,1.5e+08
1883,"1,2,3-benzotriazin-4(1H)-one",31000
1884,4-acetylpyridine,160
1885,3-acetylpyridine,460
1886,theophylline,5.5e+08
1887,theobromine,620000
1888,2-pyridineethanol,66000
1889,caffeine,900000
1890,acyclovir,3.1e+16
1891,2-methoxy-3-(1-methylethyl)-pyrazine,15
1892,simeton,15000
1893,phthalimide,990
1894,furazolidone,300000
1895,"1,2,3,6-tetrahydrophthalimide",330
1896,"9-[(1,3-dihydroxy-2-",6.6e+17
1897,atraton,6400
1898,"4-hydroxy-2,2,6,6-tetramethyl-1-",3.3e+09
1899,8-hydroxyquinoline,17
1900,carbendazim,470000
1901,metamitron,2.2e+06
1902,pymetrozin,330000
1903,3-oxo-N-phenylbutanamide,2.3e+06
1904,"2,3’-didehydro-3’-deoxythymidine",0.43
1905,cotinine,3e+06
1906,4-(N-nitroso-N-methylamino)-1-(3-,1.2e+08
1907,9-(4-hydroxy-3-hydroxymethylbut-1-,1e+26
1908,anatoxin A,1500
1909,dimetilan,240000
1910,isolan,4900
1911,amicarbazone,1.5e+07
1912,prometone,11000
1913,secbumeton,2800
1914,terbumeton,2100
1915,kinetin,0.82
1916,carbadox,2.2e+17
1917,bendiocarb,250
1918,"2,3,5-trimethylphenol, methylcarba-",45
1919,butalbital,1.6e+07
1920,dexrazoxane,4.7e+13
1921,pentobarbital,1.2e+07
1922,pirimor,12000
1923,ethirimol,3600
1924,fenfuram,25000
1925,phenobarbital,5.8e+08
1926,triaziquone,1.1e+10
1927,triallyl cyanurate,23
1928,entecavir,6.2e+15
1929,metaxalone,37000
1930,phendimetrazine,370
1931,picaridin,330000
1932,pyrinuron,5.4e+10
1933,melatonin,3.8e+08
1934,"dibenz[b,f ]][1,4]oxazepine",0.0024
1935,benomyl,520000
1936,trimethoprim,4.1e+08
1937,famciclovir,1e+08
1938,furmecyclox,140
1939,oxcarbazepine,1.4e+07
1940,phenytoin,970000
1941,carbamazepine,0.9
1942,propylthiouracil,9000
1943,ancymidol,4.7e+06
1944,imazethapyr,9.9e+10
1945,imazamox,1.1e+13
1946,cycloheximide,2.8e+09
1947,oxymatrine,9.9e+12
1948,mebendazole,1.8e+10
1949,fenpyroximate,7.6
1950,imazamethabenz-methyl,2.6e+06
1951,nifedipine,1.4e+08
1952,oxymorphone,2.4e+13
1953,desomorphine,2.4e+06
1954,cocaine,230000
1955,quinophthalone,1.6e+08
1956,tetramethrin,5.8
1957,isoxaben,7800
1958,alfuzosin,1e+14
1959,pyriproxyfen,16000
1960,papaverine,1.3e+07
1961,fenazaquin,99
1962,bitertanol,12000
1963,bitertanol diastereoisomer a,3.1e+06
1964,bitertanol diastereoisomer b,1.5e+06
1965,naltrexone,2.3e+13
1966,ibogaine,820000
1967,fenpropimorph,6.2
1968,strychnine,1.6e+08
1969,nalmefene,5.5e+10
1970,benztropine,4500
1971,stanozolol,900
1972,azoxystrobin,1.4e+08
1973,famoxadone,210
1974,tadalafil,2e+12
1975,bisacodyl,1.4e+06
1976,fentanyl,1.1e+06
1977,4-(triphenylmethyl)morpholine,76000
1978,brucine,4.7e+10
1979,mycophenolate mofetil,1.8e+09
1980,pinoxaden,1.1e+06
1981,valsartan,0.32
1982,donepezil,8.2e+06
1983,2-[4-[4-(2-,7.5e+08
1984,"2-(2H-benzotriazol-2-yl)-4,6-bis(1-",7.2e+09
1985,norbormide,3.7e+17
1986,reserpine,1.8e+17
1987,telaprevir,1.3e+25
1988,lopinavir,2.3e+22
1989,atazanavir,2.7e+26
1990,tylosin,1.7e+32
1991,nystatin,49000
1992,"1,3,5-tris(3,5-di-tert-butyl-4-",6.1e+20
1993,urea nitrate,5.8e+11
1994,methyl nitrate,0.02
1995,ethyl nitrate,0.016
1996,1-propyl nitrate,0.011
1997,2-propyl nitrate,0.0078
1998,1-butyl nitrate,0.01
1999,2-butyl nitrate,0.64
2000,2-methyl-1-nitropropane,0.007
2001,1-pentyl nitrate,0.0066
2002,2-pentyl nitrate,0.0037
2003,3-pentyl nitrate,0.0038
2004,3-methyl-1-butanol nitrate,0.005
2005,pentaerythritol tetranitrate,7600
2006,1-hexyl nitrate,0.0076
2007,2-nitrooxyethanol,0.39
2008,1-nitrooxy-2-propanol,66
2009,2-nitrooxy-1-propanol,72
2010,1-nitrooxy-2-butanol,89
2011,2-nitrooxy-1-butanol,88
2012,2-nitrooxy-3-butanol,100
2013,3-nitrooxy-1-butanol,140
2014,4-nitrooxy-1-butanol,290
2015,4-nitrooxy-2-butanol,130
2016,4-nitrooxy-1-pentanol,200
2017,5-nitrooxy-2-pentanol,360
2018,1-nitrooxy-2-propanone,10
2019,"1,2-ethanediol dinitrate",6.3
2020,"1,2-propanediol dinitrate",1.7
2021,"1,3-propanediol dinitrate",1.3
2022,"1,2,3-propanetriol trinitrate",230
2023,"1,2-butanediol dinitrate",0.21
2024,"1,3-butanediol dinitrate",0.57
2025,"1,4-butanediol dinitrate",1.6
2026,"2,3-butanediol dinitrate",0.12
2027,"1,2-pentanediol dinitrate",0.13
2028,"1,4-pentanediol dinitrate",0.39
2029,"1,5-pentanediol dinitrate",1.2
2030,"1,2-hexanediol dinitrate",0.096
2031,"1,5-hexanediol dinitrate",0.27
2032,"1,6-hexanediol dinitrate",1.5
2033,"2,5-hexanediol dinitrate",0.31
2034,"1,7-heptanediol dinitrate",1.1
2035,"1,2-octanediol dinitrate",0.052
2036,"1,8-octanediol dinitrate",0.78
2037,"1,2-decanediol dinitrate",0.02
2038,"1,10-decanediol dinitrate",0.43
2039,diethylene glycol dinitrate,25
2040,peroxyacetyl nitrate,0.029
2041,peroxypropionyl nitrate,0.029
2042,nitro butaneperoxoate,0.023
2043,peroxy-2-propenoyl nitrate,0.017
2044,peroxy-isobutyryl nitrate,0.0099
2045,isocyanic acid,0.21
2046,hydroxyacetonitrile,1.3
2047,2-hydroxypropanenitrile,1
2048,3-hydroxypropanenitrile,23000
2049,"cyanoethanoic acid, ethyl ester",34
2050,2-hydroxybenzoic acid nitrile,28
2051,3-hydroxybenzoic acid nitrile,40000
2052,4-hydroxybenzoic acid nitrile,14000
2053,"1,1’,1”-nitrilotris-2-propanol",1e+06
2054,cyometrinil,11000
2055,fenpropathrin,0.055
2056,nitromethane,0.34
2057,nitromethane-13C,0.48
2058,nitroethane,0.21
2059,1-nitropropane,0.13
2060,2-nitropropane,0.083
2061,1-nitrobutane,0.097
2062,1-nitropentane,0.047
2063,tris(hydroxymethyl)ethane trinitrate,2200
2064,1-nitrohexane,0.045
2065,nitrocyclohexane,0.24
2066,2-nitroethanol,160
2067,1-nitro-2-propanol,79
2068,2-nitro-1-propanol,99
2069,1-nitro-2-butanol,73
2070,2-nitro-1-butanol,75
2071,3-nitro-2-butanol,57
2072,nitroguanidine,2.2e+10
2073,tetranitromethane,0.41
2074,"2-(hydroxymethyl)-2-nitro-1,3-",2.1e+06
2075,nitrobenzene,0.64
2076,nitrobenzene-d5,0.85
2077,2-nitrotoluene,0.79
2078,3-nitrotoluene,1.1
2079,4-nitrotoluene,1.8
2080,"1,2-dinitrobenzene",190
2081,"1,3-dinitrobenzene",200
2082,"1,4-dinitrobenzene",0.2
2083,"1,3,5-trinitrobenzene",1500
2084,2-nitrobenzenamine,170
2085,3-nitrobenzenamine,690
2086,4-nitrobenzenamine,8600
2087,"2,4-dinitrobenzenamine",65000
2088,"1-methyl-2,3-dinitrobenzene",110
2089,"1-methyl-2,4-dinitrobenzene",180
2090,"2-methyl-1,4-dinitrobenzene",0.18
2091,"2-methyl-1,3-dinitrobenzene",15
2092,"4-methyl-1,2-dinitrobenzene",110
2093,"1-methyl-2,4,6-trinitrobenzene",470
2094,"2,4,6-trinitro-1,3-dimethyl-5-tert-",0.32
2095,2-nitrophenol,1.4
2096,3-nitrophenol,160
2097,4-nitrophenol,210
2098,3-methyl-2-nitrophenol,3.2
2099,4-methyl-2-nitrophenol,0.67
2100,5-methyl-2-nitrophenol,0.77
2101,6-methyl-2-nitrophenol,0.29
2102,3-methyl-4-nitrophenol,620
2103,4-methoxy-2-nitrophenol,5.3
2104,4-hydroxy-3-nitro-benzaldehyde,9.4
2105,"2,4-dinitrophenol",0.11
2106,"2,5-dinitrophenol",15
2107,picramic acid,1e+06
2108,4-amino-2-nitrophenol,4.5e+06
2109,2-amino-5-nitrophenol,1.3e+07
2110,2-amino-4-nitrophenol,4.5e+06
2111,4-nitro-o-phenylenediamine,1.3e+06
2112,"4-nitrobenzene-1,3-diamine",170000
2113,"2-nitro-1,4-benzenediamine",170000
2114,"4-methyl-2,6-dinitrophenol",190
2115,"2-methyl-4,6-dinitrophenol",0.43
2116,"2,4,6-trinitrobenzoic acid",3.8e+08
2117,5-nitrobenzimidazole,27
2118,4-nitrobenzoic acid,26000
2119,dinitrotoluene,110
2120,"1-methyl-3,5-dinitrobenzene",110
2121,1-methoxy-2-nitrobenzene,23
2122,2-methyl-5-nitrobenzenamine,1200
2123,2-methoxy-5-nitrobenzenamine,760
2124,"1,2-dimethyl-3-nitrobenzene",0.19
2125,"1,2-dimethyl-4-nitrobenzene",0.39
2126,"1,4-dimethyl-2-nitrobenzene",0.39
2127,"2,4-dimethyl-1-nitrobenzene",0.39
2128,4-methyl-2-nitroanisole,7.2
2129,1-(1-methylethyl)-4-nitrobenzene,0.24
2130,"2-(1-methylpropyl)-4,6-dinitrophenol",2.2
2131,1-nitronaphthalene,5.6
2132,dinoterb,0.93
2133,4-(1-methylpropyl)-2-nitrophenol,0.1
2134,musk ambrette (artificial),14
2135,bis(p-nitrophenyl) ether,5400
2136,4-nitro-N-phenylbenzenamine,2400
2137,"2-cyclohexyl-4,6-dinitrophenol",180
2138,dipicrylamine,4.3e+11
2139,"1,2-dihydro-5-nitroacenaphthylene",9
2140,"4-nitro-1,1’-biphenyl",2.8
2141,2-nitro-9H-fluorene,34
2142,"5-tert-butyl-4,6-dinitro-1,2,3-",34
2143,penoxaline,12
2144,"2,6-dinitro-4-octylphenol",0.16
2145,musk ketone,3
2146,moskene,48
2147,9-ethyl-3-nitrocarbazole,330
2148,"1-[(2,4-dinitrophenyl)azo]-2-naphthol",1.1e+09
2149,"3,7-dinitrofluoranthene",49000
2150,"1,6-dinitropyrene",76000
2151,"1,8-dinitropyrene",76000
2152,1-nitropyrene,390
2153,4-nitropyrene,390
2154,1-[(4-methyl-2-nitrophenyl)azo]-2-,8.2e+06
2155,phenyl 1-hydroxy-4-nitro-2-naphthoate,0.15
2156,6-nitrochrysene,660
2157,1-nitrobenzo[a]pyrene,3100
2158,3-nitrobenzo[a]pyrene,3100
2159,6-nitrobenzo[a]pyrene,3100
2160,fluoromethane,0.00061
2161,difluoromethane,0.00069
2162,trifluoromethane,0.13
2163,tetrafluoromethane,2.1e-06
2164,fluoroethane,0.00048
